order_id,customer_id,name,category,sub_category,city,date,region,unit_price,total_Sales,units_sold,discount_rate,profits,month,seasonality,mode_of_transaction ,marketting_id,inventory_level,revenue,employement_status,employee_id 
O001,C001,Roshan,Snacks,Chocolates,Tirunelveli,05-03-2015,East,10,1230,123,0.35,108,3,No festival,Offline,200196,1,799.5,unemployed,11
O002,C002,Adavan,Beverages,Health Drinks,Bodi,07-03-2015,West,100,1300,13,0.14,100,3,No festival,Online,200196,1,1118,unemployed,7
O003,C003,Haseena,Oil & Masala,Masalas,Chennai,07-03-2015,West,50,1200,24,0.27,161,3,No festival,Offline,200196,2,876,employed,7
O004,C004,Ramesh,Snacks,Chocolates,Tenkasi,07-03-2015,West,10,1310,131,0.23,175,3,No festival,Offline,200196,1,1008.7,unemployed,4
O005,C005,Malik,Fruits & Veggies,Fresh Fruits,Perambalur,07-03-2015,West,190,1140,6,0.32,111,3,No festival,Offline,200196,3,775.2,unemployed,13
O006,C006,Haseena,"Eggs, Meat & Fish",Chicken,Virudhunagar,07-03-2015,West,200,1000,5,0.21,150,3,No festival,Online,200196,4,790,unemployed,14
O007,C007,Ganesh,"Eggs, Meat & Fish",Eggs,Ramanadhapuram,07-03-2015,West,6,1248,208,0.34,130,3,No festival,Offline,200196,4,823.68,unemployed,1
O008,C008,Peer,Bakery,Breads & Buns,Pudukottai,07-03-2015,West,30,1020,34,0.21,154,3,No festival,Offline,200196,1,805.8,unemployed,3
O009,C009,Aditi,"Eggs, Meat & Fish",Chicken,Madurai,10-03-2015,Central,200,1200,6,0.3,123,3,No festival,Online,200196,4,840,unemployed,7
O010,C010,Veena,Snacks,Noodles,Chennai,10-03-2015,West,100,1300,13,0.1,160,3,No festival,Online,200196,1,1170,employed,10
O011,C011,Jonas,"Eggs, Meat & Fish",Eggs,Cumbum,10-03-2015,West,6,1074,179,0.16,171,3,No festival,Offline,200196,4,902.16,employed,15
O012,C012,Jonas,Fruits & Veggies,Organic Fruits,Dharmapuri,11-03-2015,South,300,1200,4,0.14,183,3,No festival,Online,200196,3,1032,unemployed,20
O013,C013,Sabeela,Bakery,Cakes,Salem,11-03-2015,South,300,1200,4,0.27,199,3,No festival,Offline,200196,1,876,unemployed,15
